station_name,longitude,latitude
Adgaon Police station,73.826945,20.015486
AmbadPolice station,73.763443,19.96586
Bhadrakali Police station,73.789208,19.997799
Devlali camp Police station,73.826855,19.905098
Gangapur Police station,73.75007,20.014267
Indiranagar Police station,73.778583,19.974576
Mhasrul Police station,73.802388,20.032542
Mumbai naka Police station,73.783917,19.987591
Panchavati Police station,73.796739,20.015643
Sarkarwada Police station,73.779772,20.00562
Satpur Police station,73.742909,19.991434
Upnagar Police station,73.824402,19.967381
Nashik Road Police Station,73.8397366,19.9528351
MIDC Chunchale police chowki,73.7368018,19.9506575
