zone_name,centroid_lat,centroid_lng,approx_boundary_points
Zone Area 1,19.982676,73.712825,19
Zone Area 2,20.04899,73.804527,21
Zone Area 3,20.04714,73.800549,6
Zone Area 4,20.052318,73.79478,21
Zone Area 5,19.930185,73.718225,14
Zone Area 6,20.000705,73.863689,21
Zone Area 7,20.050195,73.882161,23
Zone Area 8,19.998954,73.864869,13
Zone Area 9,20.02868,73.718788,22
Zone Area 10,19.960999,73.756712,14
Zone Area 11,19.949892,73.849059,63
Zone Area 12,20.075429,73.806543,20
Zone Area 13,20.08427,73.78208,14
Zone Area 14,20.027645,73.718997,13
Zone Area 15,19.940415,73.843123,6
Zone Area 16,19.945674,73.844561,15
Zone Area 17,20.075526,73.80698,15
Zone Area 18,20.061555,73.810584,23
Zone Area 19,19.936666,73.71736,13
Zone Area 20,19.939742,73.714194,19
Zone Area 21,19.983782,73.819156,55
Zone Area 22,19.968996,73.827684,11
Zone Area 23,19.968388,73.824545,10
Zone Area 24,20.036228,73.769557,21
Zone Area 25,20.039942,73.738581,16
Zone Area 26,20.013389,73.834474,7
Zone Area 27,20.013673,73.833538,5
Zone Area 28,20.013122,73.835548,6
Zone Area 29,19.979904,73.819459,19
Zone Area 30,19.99501,73.779993,29
Zone Area 31,19.986392,73.782566,24
Zone Area 32,19.956873,73.83786,7
